gucci	10065	33	3100	16.10.2009_10:36	j_girl	hjfjjwjgjjrfjv
blue_petrol	1847	l	1200	16.10.2009_10:24	maika_girl	8699113144316
SNG	5000_orange	1	950	10.09.2009_10:19	tolstovka_girl	hfhjjwjgtjjcfjrj
rigas	9013	l	3200	16.10.2009_10:22	kurtka_man	jgjdsjjfgjhjd
soner	5521	38	2500	16.10.2009_12:56	kurtka_girl	ijuhytyyhhhgy
climber	0014_k043_s01	36	2300	25.10.2009_14:51	j	878987678765gvcv
levis	630	31	1500	12.09.2009_09:14	j	fgh56772gh
climber	0871_d168_m15	38	2800	30.08.2009_10:34	j	0998876000_8698976111855
danger	340	m	3600	16.10.2009_10:23	kertka_man	1977112012346
kaptan	4602	m-l	1700	28.10.2009_10:45	sviter	4602BY
huo_di_long	cai45	27	1200	18.10.2009_10:25	j_girl	20090800335
armani	0900_black	m	1500	10.10.2009_08:58	olimpiika	kjlhgfdsghjkhg
