tommy_halfiger	151	26	2800	03.04.2012_10:45	j_girl	000151151436778hk
britney	4065	33	2700	06.11.2010_11:20	j_girl	4065406555
louise	19435	33	2500	21.10.2012_10:29	j	467656789865
climber	0322_g201	34	2900	07.12.2011_13:53	j	322g201
burberry	7827	27	2600	06.11.2010_11:31	j_girl	78277827
climber	0842_d146_s01	40	2600	30.08.2009_13:21	j	8698976098040_8698976098057_8698976098118
dollani	1016	s	1600	24.02.2012_13:42	bluzon	10161016
fusion	31105	38	1600	02.06.2012_11:29	jubka	3110531105
fusion	74487_sin	38	1700	10.03.2012_11:59	bluza	6567546767454567888656578
fusion	20651	36	2500	21.10.2012_10:25	bruk	4882838285141
